name,description,category,price,compare_at_price,quantity,moq,status,featured,seo_title,seo_description,keywords,low_stock_threshold,preorder_shipping,images,variant_color,variant_color_hex,variant_size,variant_price,variant_stock
"Fragrance World Brown Orchid Rose Edition Gift Set","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"Fragrance World,Brown Orchid,Rose Edition",5,,18.png,,,,,
"Rave Now","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"Rave,Now",5,,19.png,,,,,
"Khadlaj Oud Noir","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"Khadlaj,Oud Noir",5,,20.png,,,,,
"Armaf Club de Nuit Women","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"Armaf,Club de Nuit,Women",5,,21.png,,,,,
"Lattafa Khamrah Dukhan","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"Lattafa,Khamrah,Dukhan",5,,22.png,,,,,
"Lattafa Yara Candy","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"Lattafa,Yara,Candy",5,,23.png,,,,,
"Lattafa Mayar","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"Lattafa,Mayar",5,,24.png,,,,,
"Invicto Absolu","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"Invicto,Absolu,Victorious",5,,25.png,,,,,
"Armaf Club de Nuit Precieux I","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"Armaf,Club de Nuit,Precieux I",5,,26.png,,,,,
"Intense Noir Le Parfum","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"Intense Noir,Le Parfum",5,,27.png,,,,,
"Lattafa Hayaati","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"Lattafa,Hayaati",5,,28.png,,,,,
"Armaf Club de Nuit Intense Man Limited Edition Parfum Gift Set","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"Armaf,Club de Nuit,Intense Man,Limited Edition",5,,29.png,,,,,
"Khadlaj Island Vanilla Dunes","Extrait de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"Khadlaj,Island,Vanilla Dunes",5,,30.png,,,,,
"Verato White Musk","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"Verato,White Musk",5,,31.png,,,,,
"Le Falcone Bonita Pour Femme","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"Le Falcone,Bonita,Pour Femme",5,,32.png,,,,,
"Fragrance World Elysia Marshmallow","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"Fragrance World,Elysia,Marshmallow",5,,33.png,,,,,
